﻿Ranking,Title,Rating,Director,Actors,Duration,Relaese Time,Type,Making Area,Cumulative_income(ten thousand unit),Movie Information
﻿41,末代皇帝,8.7,贝纳尔多·贝托鲁奇,"尊龙,陈冲,彼得·奥图尔",163分钟,1987-10-04(日本),['剧情'],"英国,意大利,中国大陆,法国,美国",,http://maoyan.com/films/2039
﻿42,美国往事,9.1,赛尔乔·莱翁内,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",229分钟,2015-04-23,"['剧情', '犯罪']","意大利,美国",,http://maoyan.com/films/1332
﻿43,西西里的美丽传说,8.2,朱塞佩·托纳多雷,"莫妮卡·安娜·玛丽亚·贝鲁奇,朱塞佩·苏尔法罗,玛蒂尔德·皮亚纳",109分钟,2000-10-26(意大利),"['剧情', '爱情', '战争']","美国,意大利",,http://maoyan.com/films/1284164
﻿44,头号玩家(IMAX 3D),9.0,史蒂文·斯皮尔伯格,"泰伊·谢里丹,奥利维亚·库克,本·门德尔森",140分钟,2018-03-30,"['动作', '冒险', '科幻']",美国,139668,http://maoyan.com/films/341178
﻿45,飞越疯人院,8.8,米洛斯·福尔曼,"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",133分钟,1975-11-19(美国),['剧情'],美国,,http://maoyan.com/films/1322
﻿46,一一,8.9,杨德昌,"吴念真,金燕玲,李凯莉",173分钟,2017-07-28(中国台湾),"['剧情', '爱情', '家庭']","中国台湾,日本",,http://maoyan.com/films/1383
﻿47,机器人总动员,9.3,安德鲁·斯坦顿,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",98分钟,2008-06-27(美国),"['喜剧', '科幻', '动画']",美国,,http://maoyan.com/films/488
﻿48,窃听风暴,9.0,弗洛里安·亨克尔·冯·多纳斯马尔克,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",137分钟,2006-03-23(德国),"['剧情', '悬疑']",德国,,http://maoyan.com/films/23127
﻿49,本杰明·巴顿奇事,8.8,大卫·芬奇,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",166分钟,2008-12-25(美国),"['剧情', '爱情', '奇幻']",美国,,http://maoyan.com/films/18318
﻿50,美丽心灵,8.8,朗·霍华德,"罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",135分钟,2001-12-13(美国),"['剧情', '传记']",美国,,http://maoyan.com/films/11473
﻿51,搏击俱乐部,8.8,大卫·芬奇,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",139分钟,1999-09-10(意大利),"['剧情', '动作', '悬疑', '惊悚']","美国,德国",,http://maoyan.com/films/1291
﻿52,超脱,8.7,托尼·凯耶,"艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩",97分钟,2011-04-25(美国),['剧情'],美国,,http://maoyan.com/films/65496
﻿53,乱世佳人,9.1,乔治·库克,"费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",238分钟,1939-12-15(美国),"['剧情', '爱情', '历史', '战争']",美国,,http://maoyan.com/films/7431
﻿54,海边的曼彻斯特,8.8,肯尼斯·罗纳根,"卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯",136分钟,2017-08-25,"['剧情', '家庭']",美国,818,http://maoyan.com/films/338365
﻿55,海蒂和爷爷,9.5,阿兰·葛斯彭纳,"阿努克·斯特芬 ,布鲁诺·甘茨,昆林·艾格匹",111分钟,2019-05-16,"['剧情', '家庭', '冒险']","瑞士,德国",2093,http://maoyan.com/films/337625
﻿56,爱在黎明破晓前,8.7,理查德·林克莱特,"伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",101分钟,1995-01-27(美国),['爱情'],"美国,奥地利,瑞士",,http://maoyan.com/films/4587
﻿57,天使爱美丽,8.4,让-皮埃尔·热内,"奥黛丽·塔图,马修·卡索维茨,吕菲斯",122分钟,2001-04-25(比利时),['爱情'],"法国,德国",,http://maoyan.com/films/1314
